ingredient,unit,quantity,price
loaves bread,unit,9.23076923076923,
wraps,unit,36.92307692307692,
plain yoghurt,kg,1.8461538461538463,
vanilla yoghurt,kg,1.8461538461538463,
fruit yoghurt,kg,1.8461538461538463,
vegan yoghurt,kg,0.9230769230769231,
nutella,kg,1.3846153846153846,
peanut butter,kg,0.46153846153846156,
jam,kg,0.9230769230769231,
cookies,kg,2.769230769230769,
butter spread,kg,0.9230769230769231,
cereal bars,kg,0.9230769230769231,
nut fruit mix,kg,1.8461538461538463,
breakfast cereal,kg,1.8461538461538463,
pickles,kg,0.9230769230769231,
fruits,kg,6.461538461538462,
soft chili sauce,l,0.23076923076923078,
corn waffles,kg,0.27692307692307694,
sliced cheese,kg,0.27692307692307694,
avocado,kg,0.9230769230769231,
carrots,kg,4.615384615384615,
cucumbers,kg,2.769230769230769,
bell peppers,kg,1.8461538461538463,
salad dressing,kg,1.8461538461538463,
tinned fish,kg,0.9230769230769231,
tahini,kg,0.27692307692307694,
hummus,kg,0.9230769230769231,
smoked tofu,kg,0.9230769230769231,
coffee,kg,2.769230769230769,
black teabags,unit,18.46153846153846,
chai teabags,unit,18.46153846153846,
infusionsbags,unit,18.46153846153846,
chamomile teabags,unit,18.46153846153846,
cow milk,l,2.769230769230769,
oat milk,l,11.076923076923077,
coffee cream,l,0.18461538461538463,
sugar,kg,0.23076923076923078,
honey,kg,0.09230769230769231,

